,trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
9459,147406:315342,12:30:00,12:30:00,1043,1,0,,0,0,1
9460,147406:315342,12:30:00,12:30:00,1044,2,125,,0,0,0
9461,147406:315342,12:30:00,12:30:00,1045,3,266,,0,0,0
9462,147406:315342,12:30:00,12:30:00,1046,4,468,,0,0,0
9463,147406:315342,12:31:00,12:31:00,1578,5,650,,0,0,0
9464,147406:315342,12:32:00,12:32:00,1579,6,1316,,0,0,0
9465,147406:315342,12:32:00,12:32:00,1580,7,1616,,0,0,0
9466,147406:315342,12:32:00,12:32:00,1581,8,1785,,0,0,0
9467,147406:315342,12:34:00,12:34:00,1582,9,2059,,0,0,1
9468,147406:315342,12:34:00,12:34:00,1583,10,2418,,0,0,0
9469,147406:315342,12:39:00,12:39:00,1584,11,7541,,0,0,0
9470,147406:315342,12:43:00,12:43:00,1585,12,9088,,0,0,1
9471,147406:315342,12:44:00,12:44:00,1586,13,9612,,0,0,0
9472,147406:315342,12:44:00,12:44:00,1587,14,9954,,0,0,0
9473,147406:315342,12:45:00,12:45:00,1588,15,10458,,0,0,0
9474,147406:315342,12:46:00,12:46:00,1589,16,10727,,0,0,0
9475,147406:315342,12:47:00,12:47:00,1854,17,11297,,0,0,0
9476,147406:315342,12:50:00,12:50:00,1855,18,12077,,0,0,1
9477,147406:315342,12:50:00,12:50:00,1856,19,12434,,0,0,0
9478,147406:315342,12:51:00,12:51:00,1590,20,12678,,0,0,0
9479,147406:315342,12:51:00,12:51:00,1591,21,13011,,0,0,0
9480,147406:315342,12:52:00,12:52:00,1592,22,13496,,0,0,0
9481,147406:315342,12:53:00,12:53:00,1593,23,13844,,0,0,0
9482,147406:315342,12:54:00,12:54:00,1594,24,14188,,0,0,0
9483,147406:315342,12:56:00,12:56:00,1595,25,14618,,0,0,1
9484,147406:315342,12:57:00,12:57:00,1596,26,16301,,0,0,0
9485,147406:315342,13:05:00,13:05:00,1638,27,21715,,0,0,1
9486,147406:315342,13:05:00,13:05:00,1639,28,22155,,0,0,0
9487,147406:315342,13:06:00,13:06:00,1640,29,22483,,0,0,0
9488,147406:315342,13:10:00,13:10:00,1043,30,23826,,0,0,1
